LAcode,LAname,Nocarvan,Unemp,LLTI,Sochous,Ethnic,Troutine,random
E07000038,North East Derbyshire,18.67192942,6.304554668,21.97671248,20.38774089,3.085141836,29.83800708,0
E07000039,South Derbyshire,13.46173574,4.99847235,17.47788312,9.943065244,6.009872002,27.5925126,0
E07000129,Blaby,13.03055369,4.808082447,15.75680136,7.620327767,11.45077996,24.62732285,0
E07000130,Charnwood,18.06632991,6.068332483,15.5743528,11.80317518,15.72667068,23.59742972,0
E07000131,Harborough,11.8258926,3.844933841,14.55107634,8.375838157,7.191211262,20.02810395,0
E07000132,Hinckley and Bosworth,14.58448112,4.991350269,16.97025067,10.32461379,5.365537981,27.03433013,1
E07000133,Melton,15.1279665,4.624626894,15.58083214,11.17729176,4.992456725,27.33865512,0
E07000134,North West Leicestershire,15.64352893,5.616964155,18.11315102,14.30689021,4.656138999,29.22136647,1
E07000135,Oadby and Wigston,17.08608651,6.253430422,17.30639131,7.544870894,29.43920242,23.90862073,0
E07000136,Boston,20.76508739,6.893428286,20.17420363,18.19281082,16.11460928,40.2845305,0
E07000137,East Lindsey,18.34784037,7.520405874,25.95435517,11.01166037,3.433992419,32.51340965,0
E07000138,Lincoln,29.55681105,10.08917355,18.45821618,21.91839297,10.57076576,30.05434707,0
E07000139,North Kesteven,13.02531976,4.891355294,19.11920272,10.21056295,4.10426294,25.32690546,0
E07000140,South Holland,14.60390726,6.427902622,20.61515804,12.68784886,9.857256146,35.26282854,0
E07000141,South Kesteven,16.67131696,5.449100913,17.28779861,13.42947824,6.373516309,27.06871217,1
E07000142,West Lindsey,15.12830533,6.450714037,19.92605042,11.06161261,3.667226891,26.81936793,0
E07000150,Corby,26.56355344,7.582938389,17.74222512,20.93198493,14.99632683,41.7301161,0
E07000151,Daventry,12.01693683,4.95541624,15.56080829,13.94128985,6.930616754,23.71250806,0
E07000152,East Northamptonshire,13.35875722,5.354933063,16.23119922,13.28304638,6.548723564,27.07519919,0
E07000153,Kettering,18.76023274,6.296189851,17.10831773,13.06516209,10.72479273,29.63339223,0
E07000154,Northampton,24.38268474,7.640590582,15.83776978,17.03237876,23.44331326,28.0147994,0
E07000155,South Northamptonshire,9.272114526,3.677451817,13.94194086,10.09591843,5.946777166,20.10879158,0
E07000156,Wellingborough,21.10303522,7.496590074,17.8671904,17.70596126,18.74701417,32.0831129,0
E07000170,Ashfield,23.70265654,7.847472617,22.48006226,16.21409358,3.977505711,36.9537808,0
E07000171,Bassetlaw,20.07888057,6.766138412,21.80608348,15.89988881,5.493385786,33.27651401,0
E07000172,Broxtowe,21.57411363,6.546824853,18.80679898,11.14480991,10.49074319,25.65677369,0
E07000173,Gedling,21.46953332,6.687623061,19.33716742,9.981965187,9.680913839,25.40463955,0
E07000174,Mansfield,25.20032051,7.814569536,23.74743936,18.24919872,6.756265196,36.26855032,0
E07000175,Newark and Sherwood,18.64761241,6.027685611,20.34890304,14.4547188,5.756116255,29.86749064,0
E07000176,Rushcliffe,15.12163194,4.75394086,15.7285677,8.408421512,9.687840258,16.74571234,0
E06000019,"Herefordshire, County of",16.37661359,5.325600663,18.72932302,13.9212707,6.297792094,27.13838222,0
E06000051,Shropshire,15.79576476,5.363775255,18.56276276,13.45528016,4.60002156,25.99824916,0
E06000021,Stoke-on-Trent,30.88542877,9.856329168,22.69043565,24.16825471,13.56823877,37.54813794,0
E06000020,Telford and Wrekin,20.64016334,7.889784298,18.59986438,19.67631516,10.52862141,31.41013584,0
E07000192,Cannock Chase,20.19722605,7.607979393,20.73013072,16.91914224,3.509059941,32.84860392,1
E07000193,East Staffordshire,21.42388521,6.354520913,17.70247308,13.47484709,13.84802303,31.70878532,0
E07000194,Lichfield,13.56976519,5.662155388,18.14632305,13.21075102,5.355971943,24.19305216,0
E07000195,Newcastle-under-Lyme,22.12500476,6.959505605,20.84749457,18.71647582,6.749763867,29.72004115,0
E07000196,South Staffordshire,13.22371677,5.637714748,18.69306674,13.93000135,5.356465768,23.68864442,0
E07000197,Stafford,17.48918371,5.667359226,18.21210524,13.67610362,7.418869251,23.31521013,0
E07000198,Staffordshire Moorlands,14.83290242,4.917182116,21.06460981,8.855214019,2.521986283,28.33599223,0
E07000199,Tamworth,20.60284024,7.169932859,17.89410647,19.31872094,4.984833296,33.6230711,0
E07000218,North Warwickshire,15.50054238,5.854691539,19.24726675,14.40802727,4.055535847,30.74723847,0
E07000219,Nuneaton and Bedworth,22.41088198,7.743522261,19.46396066,14.4808484,11.07607064,33.53567163,1
E07000220,Rugby,17.51641791,5.695836546,16.10192356,14.31164179,15.85311017,27.08530903,0
E07000221,Stratford-on-Avon,12.75227238,4.050742636,16.87678964,12.92751502,6.394986928,20.62283421,0
E07000222,Warwick,18.48702261,5.167383184,14.82767639,13.40513642,16.6431768,18.94287686,0
E08000025,Birmingham,35.8166803,13.42672013,18.44293576,24.24720502,46.85991734,25.56954799,0
E08000026,Coventry,32.16452034,10.70820701,17.74577234,17.04149558,33.37077234,27.87713858,1
E08000027,Dudley,23.02047479,8.890502756,20.26939362,19.80410728,11.4644084,30.84868961,0
E08000028,Sandwell,33.90755403,12.47075973,20.90578875,27.52226374,34.16216813,35.99276564,0
E08000029,Solihull,19.74528214,6.988839528,17.86726923,14.91354467,14.23788188,22.4197897,0
E08000030,Walsall,28.79189776,11.69095386,20.75648942,24.08321122,23.05224582,33.19512017,0
E08000031,Wolverhampton,33.63770712,13.60348059,20.54675913,28.03762099,35.48522868,33.46316041,0
E07000234,Bromsgrove,12.46017237,5.090333076,17.56570586,9.973883521,6.404519581,20.31501172,0
E07000235,Malvern Hills,13.45150875,5.458413476,19.54817703,14.11585744,4.839811874,21.19524593,1
E07000236,Redditch,20.30700996,7.289030941,17.05892132,21.17101549,12.61429216,31.44122963,0
E07000237,Worcester,22.42757243,7.297138414,16.20464118,15.31325817,10.88611696,26.62778338,0
E07000238,Wychavon,12.85125136,5.058045957,17.60244219,14.48671815,6.079833083,24.15624525,0
E07000239,Wyre Forest,18.41107363,7.01497532,19.90201582,14.43526812,5.259504976,30.70191204,0
E06000055,Bedford,20.58703692,7.450556087,16.00276862,16.06594371,28.50602303,24.35304666,0
E06000056,Central Bedfordshire,13.23767469,5.453967362,14.3906188,13.39189073,10.34982959,21.73815213,0
E06000032,Luton,27.44403914,11.18704999,15.0525834,15.76864577,55.4480539,27.10938791,1
E06000031,Peterborough,24.87335017,8.055558517,16.65895192,19.4993448,29.07951272,31.19832525,1
E06000033,Southend-on-Sea,27.2945178,8.082693609,18.49382119,11.51209191,12.96916929,23.78906781,0
E06000034,Thurrock,20.09045274,8.458576274,15.56703973,18.44819014,19.09768238,29.60201185,0
E07000008,Cambridge,33.61304962,5.592245071,12.96874874,23.59678041,34.00825079,14.94459876,0
E07000009,East Cambridgeshire,13.02941007,4.446849772,15.39287504,14.283238,10.26032594,24.04387785,0
E07000010,Fenland,18.12900049,7.086325505,21.02622242,12.44214673,9.564149399,35.29411765,0
E07000011,Huntingdonshire,13.61689239,4.918413116,14.92731906,12.89285045,10.5092385,23.76621512,0
E07000012,South Cambridgeshire,10.95897265,3.660449933,13.93432154,14.25283522,12.73436187,17.79196318,0
E07000066,Basildon,21.94209991,7.468428344,17.3848261,21.96134495,10.47697095,26.38419651,0
E07000067,Braintree,16.16237734,5.862576171,16.39199369,16.47199515,6.849147426,25.7107517,0
E07000068,Brentwood,14.86327743,5.097708345,15.55549517,11.70136396,10.75121262,16.26730112,1
E07000069,Castle Point,16.77552141,6.155873494,19.0294395,5.348518112,4.622149504,26.54194906,0
E07000070,Chelmsford,15.67600155,5.467929684,14.44358624,13.09084646,9.69639356,20.22588182,0
E07000071,Colchester,20.57821705,6.504788732,15.7984446,13.49778038,12.49234432,22.81233957,1
E07000072,Epping Forest,15.31995922,5.857060959,15.72369424,15.00836683,14.7811229,18.64999669,0
E07000073,Harlow,24.91623339,8.018790754,17.09460119,31.21894858,16.14395197,29.84199492,0
E07000074,Maldon,12.57698416,5.077356759,17.42361551,10.40012395,4.24800013,23.15553011,0
E07000075,Rochford,14.52151114,5.128825451,16.95582744,7.588487665,4.393242643,21.3272652,0
E07000076,Tendring,23.35077691,8.716395041,25.54328929,8.442154416,4.623029671,31.38897476,0
E07000077,Uttlesford,10.05875591,4.120716818,13.64500334,12.6484864,7.701119041,18.41081876,0
E07000095,Broxbourne,17.53943385,6.630929039,15.25601171,14.0660683,19.17871145,24.6971109,0
E07000096,Dacorum,16.41529581,5.720106359,14.73002548,21.76415629,14.02169185,20.59381285,0
E07000097,East Hertfordshire,12.77197448,4.34764714,13.10581246,12.69950687,9.747470713,17.74050133,0
E07000098,Hertsmere,17.01694404,5.897349081,14.86439204,17.42671829,24.27347522,17.91332802,0
E07000099,North Hertfordshire,16.64919702,5.3137187,15.0903913,19.28648972,15.1242192,20.46333734,0
E07000100,St Albans,13.54827218,4.3395756,12.86398794,12.16957606,18.85272707,13.85397995,1
E07000101,Stevenage,22.75202017,7.505322924,15.73067165,28.37411886,16.8848339,26.31665246,0
E07000102,Three Rivers,14.15631765,5.055525703,14.458811,15.14754472,20.34769862,17.03395259,1
E07000103,Watford,22.15315831,6.273159336,13.62111162,16.32180148,38.12360882,21.30195368,1
E07000104,Welwyn Hatfield,20.28523605,7.268034725,14.39182159,26.92087222,23.50205817,19.59540692,1
E07000143,Breckland,15.52119445,5.911535015,19.65269635,13.77684844,8.780682193,32.05912334,0
E07000144,Broadland,11.44817759,4.298532603,18.71700656,8.562696865,4.062705582,25.66635292,0
E07000145,Great Yarmouth,27.19884028,10.61797753,22.46368617,17.24137931,7.192861622,35.98684398,1
E07000146,King`s Lynn and West Norfolk,16.42821983,6.355668236,21.2823243,13.32708767,7.796488325,31.57958927,1
E07000147,North Norfolk,16.19033141,5.994739028,23.26032769,12.82196065,3.446339373,29.64404511,1
E07000148,Norwich,33.36427991,9.387955245,18.39380584,32.66300834,15.30050109,27.97759727,1
E07000149,South Norfolk,11.65899752,4.610274799,17.93374835,11.29542313,4.849530691,24.59115484,0
E07000200,Babergh,14.10905602,4.892432534,17.37291999,13.09098662,4.64326419,25.21918351,0
E07000201,Forest Heath,15.76686633,4.868071819,15.08000268,14.7343947,22.77231037,30.21360634,0
E07000202,Ipswich,27.76013124,8.465389016,17.64979308,21.59063144,17.06351586,32.36078092,0
E07000203,Mid Suffolk,11.30104699,4.151348672,16.55002016,11.27375577,4.118638286,24.78558075,0
E07000204,St Edmundsbury,15.91415222,4.911526088,16.40692563,15.98401817,8.800266647,28.21732042,0
E07000205,Suffolk Coastal,13.95496471,4.651401757,18.47415083,11.32603906,6.148932404,23.93654391,0
E07000206,Waveney,21.89729379,8.251023616,22.30638416,14.04791384,4.224582227,34.01321494,0
E09000007,Camden,61.10176964,8.153422743,14.44644138,33.11153034,56.0053191,11.93444283,0
E09000001,City of London,69.39566705,4.687173049,11.49830508,16.5336374,42.46779661,6.516568892,0
E09000012,Hackney,64.62877372,11.52691327,14.48978763,43.69161176,63.84862143,17.55600967,0
E09000013,Hammersmith and Fulham,55.24754932,7.63624301,12.58020856,31.1862514,55.07279731,13.81361987,0
E09000014,Haringey,51.8375754,10.18098714,13.98954991,26.71963121,65.31385579,18.09418736,0
E09000019,Islington,64.65111805,9.236846893,15.65603396,42.05181923,52.29981807,14.73517854,0
E09000020,Kensington and Chelsea,56.00234287,7.213723204,12.33477677,24.53779159,60.74920107,11.58470812,0
E09000022,Lambeth,57.84935816,9.186338635,12.75908488,35.08695017,60.98467102,17.07903925,0
E09000023,Lewisham,48.1458511,10.4822505,14.40274027,31.05494827,58.51677329,19.04244746,0
E09000025,Newham,52.0582354,13.9250563,13.8679282,29.64174194,83.27315705,22.27439094,1
E09000028,Southwark,58.38800219,10.13994234,13.52143553,43.71626447,60.27028996,18.19497575,0
E09000030,Tower Hamlets,63.00502681,11.97812939,13.50001574,39.60812586,68.81847806,15.58162725,0
E09000032,Wandsworth,45.32273762,5.957563151,11.20083389,20.3198639,46.66395218,12.63730172,0
E09000033,Westminster,62.90038952,7.848899659,14.07455013,25.85561396,64.75140841,12.0589157,0
E09000002,Barking and Dagenham,39.63490765,13.07294726,16.38418383,33.66627919,50.54138808,27.75852878,0
E09000003,Barnet,28.71185144,7.687207839,14.00251413,14.22496248,54.51083937,15.02729809,0
E09000004,Bexley,23.66852404,7.445018679,15.97132722,14.44538033,22.73606986,21.89085912,0
E09000005,Brent,42.9963912,10.22420574,14.42154138,24.1109479,82.04231801,21.70404662,0
E09000006,Bromley,23.47740368,6.271480412,14.97226819,14.07971757,22.59722294,16.03449283,0
E09000008,Croydon,33.46183022,9.252793484,14.61645999,17.85187228,52.73792029,19.02048295,1
E09000009,Ealing,35.33711578,8.864901523,14.1170457,18.11060428,69.55671312,19.32870187,0
E09000010,Enfield,32.46689349,10.44871966,15.35495062,17.57313453,59.53159704,20.6393065,0
E09000011,Greenwich,42.01593349,10.93289967,15.09838661,34.30352813,47.70130069,21.26101906,0
E09000015,Harrow,23.50951725,7.79596893,14.5798474,10.58883562,69.11769627,16.60076337,0
E09000016,Havering,23.00846717,7.384001892,17.25905443,14.19664811,16.69968638,22.59770464,0
E09000017,Hillingdon,22.66749157,8.078893294,14.30224578,16.71622727,47.82868991,20.44056301,0
E09000018,Hounslow,31.59575141,7.96126711,13.78304201,22.8467261,62.09437031,21.35235621,0
E09000021,Kingston upon Thames,25.13710146,6.29023164,12.43408722,11.78836877,36.88929152,14.16025336,0
E09000024,Merton,32.56091522,6.528588258,12.63539533,14.09652475,51.59670094,16.51091592,0
E09000026,Redbridge,27.94712678,9.668668431,14.83026849,11.39094899,65.49700685,16.83839153,0
E09000027,Richmond upon Thames,24.73977579,4.773163003,11.4695973,12.58971629,28.56195518,10.44498799,0
E09000029,Sutton,23.41315527,6.19582728,14.29901234,14.61099598,29.07870794,18.59995674,0
E09000031,Waltham Forest,41.898184,10.48733677,14.57043396,22.06873768,63.98863113,20.41125156,0
E06000036,Bracknell Forest,13.67757967,5.019122716,12.27595954,16.73569031,15.1274237,19.93599307,0
E06000043,Brighton and Hove,38.18907356,7.435458914,16.30360429,14.96379793,19.51611192,17.08413982,0
E06000046,Isle of Wight,22.52762544,7.91592274,22.59863306,10.67856266,5.182801143,28.79384844,0
E06000035,Medway,21.87291096,8.316947757,16.42663636,13.17779096,14.50071043,27.73308337,0
