LAcode,LAname,Ocrowd,Noheat,Lonep,Nocarvan,Noquals,Unemp,LLTI,Sochous,Ethnic,Sroutine,Routine
E08000012,Liverpool,9.70002179,4.813693921,15.58240322,46.1375687,20.51764137,13.27872464,22.43066797,27.83575043,15.20748689,14.79505486,12.38133133
E08000014,Sefton,4.834223692,3.363859917,12.543034,28.48469431,15.76931249,8.525697117,22.6673728,14.46875265,5.172212279,15.50124371,10.72064663
E08000013,St. Helens,4.095806486,2.496831097,12.90139432,26.68744058,18.84846212,8.918097409,22.96643622,20.59390514,3.400871609,16.97277442,15.51117422
E08000015,Wirral,3.914413549,3.27706764,13.51087969,28.01974634,15.26772648,8.861404049,22.57906143,15.17182021,5.034976844,15.75128546,11.54597554
E06000011,East Riding of Yorkshire,3.123077353,2.321158902,8.152021925,17.61843504,13.6761763,6.146958673,19.14093944,9.108451256,3.851229431,14.67218255,11.66640879
E06000010,"Kingston upon Hull, City of",8.017158691,3.935308537,12.89832676,40.63021777,23.3963403,13.59868249,19.65281624,28.09513659,10.32971147,18.58769215,18.11499921
E06000012,North East Lincolnshire,4.05124306,3.34256244,12.06191631,30.81613037,20.50054407,10.85078078,19.4967923,14.47630797,4.621090617,20.21878211,16.20058192
E06000013,North Lincolnshire,3.575066493,1.257710373,9.484466074,20.67936167,16.87534177,7.902009746,19.27725953,15.41367212,7.715920356,17.61070556,16.39022636
E06000014,York,7.097376484,2.635484489,8.722711605,26.10111069,10.5614933,6.043714673,15.33695866,13.97812141,9.814643703,13.76936891,9.335131418
E07000163,Craven,3.823780661,4.238701542,8.0543465,17.19887727,11.25152753,4.099464812,17.93390965,8.99808811,4.632821383,13.02426603,9.331935291
E07000164,Hambleton,2.571031298,2.051578036,7.264475169,13.34312774,11.34530457,3.962953068,16.85550819,12.91549702,3.6717523,12.59367098,9.680484254
E07000165,Harrogate,4.445503134,2.580059254,8.383331596,16.42424333,9.650302623,3.971172412,15.59457525,9.138144084,8.330957946,12.47654291,8.146407338
E07000166,Richmondshire,4.132231405,1.732073044,8.447567675,13.3221161,11.66795551,4.34315586,15.24680073,10.80318701,6.637159627,11.92952499,9.841664079
E07000167,Ryedale,2.952406322,3.591724383,7.196767892,14.64659918,14.47604983,4.478026337,17.75617862,12.85739655,3.7661108,15.41470424,11.32487161
E07000168,Scarborough,5.959340548,4.523111156,9.197936685,28.77313644,16.79428589,7.660048099,22.40309579,12.4082128,4.750305626,17.90712028,12.65728717
E07000169,Selby,3.512833126,1.866373448,7.806938858,14.91651958,12.64386928,5.445878491,16.3908495,12.04027894,4.509341035,15.27389174,11.83548705
E08000016,Barnsley,4.288522247, ,11.35267139,26.9104771,22.81881005,8.715786066,23.9026732,20.87874998,3.917031757,17.27355418,17.95017752
E08000017,Doncaster,4.536434574,1.447579593,10.98531865,27.75146853,21.79049172,9.597839675,21.67148365,17.7117016,8.155369343,18.06435256,17.38931623
E08000018,Rotherham,4.453658131,1.125649857,10.74861718,26.55388622,20.61884101,8.918763235,21.99471393,21.50554514,8.100901741,17.66927894,15.34377178
E08000019,Sheffield,9.495146307,2.346386695,10.42804704,33.03990815,15.88819489,9.751479558,18.76522079,24.7542709,19.15349793,14.29280494,11.03565902
E08000032,Bradford,9.748815832,5.337287251,11.0845175,30.50688423,21.58685812,10.33357733,17.32733342,14.80862636,36.1418848,14.00180767,12.89317536
E08000033,Calderdale,6.542467361,5.486284289,10.5415195,27.32873698,16.53541506,8.015036126,17.9564923,15.22663928,13.29271045,14.79235847,12.45849186
E08000034,Kirklees,8.470249244,5.126062527,10.42846852,26.43711281,18.48882455,8.314953253,17.74448584,15.28598185,23.33202354,13.95600174,13.42929875
E08000035,Leeds,9.107724363,5.310421839,10.88223184,32.06122347,15.66434176,9.033661792,16.72395324,21.95192704,18.86544642,13.32426375,10.81895483
E08000036,Wakefield,4.782998846,1.805375532,10.958309,26.862706,22.5150127,7.959931197,22.06655475,23.59380119,7.214036466,16.8782184,18.5612269
E06000015,Derby,7.287500856,3.426191198,11.60250706,28.93586647,16.71373444,9.256801866,18.67562874,19.80033441,24.6695504,15.69236604,13.00901886
E06000016,Leicester,15.23329949,2.801218274,12.37035533,36.85279188,21.97014471,12.22868934,17.3226938,25.39695431,54.93892475,15.4273589,16.28191156
E06000018,Nottingham,12.61941949,2.403057139,13.05309559,43.67919068,18.6663373,13.59350707,18.11763936,29.7198944,34.57537294,13.60482954,13.79011686
E06000017,Rutland,2.4730036,1.693107586,7.372350353,12.39168111,10.61574845,3.900112233,15.48877412,11.23183576,5.694559662,11.34851397,9.478042289
E07000032,Amber Valley,3.226481101,2.222602479,9.154688569,19.22009278,17.53093695,6.291970803,20.28387118,12.32793368,3.532855309,15.85944919,15.41774332
E07000033,Bolsover,3.347458919,0.975580013,10.19481113,23.35904393,22.39505867,7.948284327,24.65794954,18.18542118,3.701262753,17.80856198,19.59603182
E07000034,Chesterfield,4.716215061,1.322762629,10.45174801,27.09205915,18.16934122,7.867335892,23.05950592,23.14727755,5.13739546,17.73743931,14.6710466
E07000035,Derbyshire Dales,3.275435857,2.400468384,7.429091855,14.82240437,12.63801987,4.337100568,18.54153777,12.15196461,3.207435739,12.57262688,10.97194967
E07000036,Erewash,3.684383472,3.168898382,10.59311591,22.39176867,16.46375361,7.229291633,19.30389629,13.01035078,4.82508186,16.0176252,14.8325243
E07000037,High Peak,4.768140502,2.259538849,9.85467057,19.5963642,13.01172826,6.214305429,18.1138054,12.69706773,4.137877921,14.66411432,11.03592574
E07000038,North East Derbyshire,3.02762944,1.05409798,8.683538426,18.67192942,16.84984057,6.304554668,21.97671248,20.38774089,3.085141836,16.07541519,13.76259189
E07000039,South Derbyshire,3.231432089,2.02092737,8.947989331,13.46173574,13.93371734,4.99847235,17.47788312,9.943065244,6.009872002,15.13606911,12.45644348
E07000129,Blaby,3.042444295,1.328646022,9.1299178,13.03055369,13.4697859,4.808082447,15.75680136,7.620327767,11.45077996,13.30989819,11.31742466
E07000130,Charnwood,4.968729328,1.943893199,8.928678814,18.06632991,12.6337962,6.068332483,15.5743528,11.80317518,15.72667068,12.83698897,10.76044076
E07000131,Harborough,3.060347298,1.406957419,7.304143504,11.8258926,10.67118238,3.844933841,14.55107634,8.375838157,7.191211262,10.96215657,9.065947378
E07000132,Hinckley and Bosworth,3.224100315,1.610948278,8.572624898,14.58448112,14.88784963,4.991350269,16.97025067,10.32461379,5.365537981,13.54547326,13.48885686
E07000133,Melton,3.382968823,2.266170312,8.580735226,15.1279665,13.00187617,4.624626894,15.58083214,11.17729176,4.992456725,15.45393046,11.88472467
E07000134,North West Leicestershire,2.913514619,1.339194439,8.77632386,15.64352893,17.06543092,5.616964155,18.11315102,14.30689021,4.656138999,14.868137,14.35322948
E07000135,Oadby and Wigston,4.269178499,1.794835747,8.960119968,17.08608651,12.88903924,6.253430422,17.30639131,7.544870894,29.43920242,13.14802559,10.76059514
E07000136,Boston,6.833754718,2.20585541,9.024953281,20.76508739,22.63340981,6.893428286,20.17420363,18.19281082,16.11460928,22.15152412,18.13300638
E07000137,East Lindsey,3.617999672,2.547216292,7.805879455,18.34784037,20.9767564,7.520405874,25.95435517,11.01166037,3.433992419,18.40024818,14.11316148
E07000138,Lincoln,7.294413057,2.508474576,10.64657878,29.55681105,14.88036507,10.08917355,18.45821618,21.91839297,10.57076576,17.18568814,12.86865893
E07000139,North Kesteven,2.079526668,1.281214652,7.672061255,13.02531976,11.78407443,4.891355294,19.11920272,10.21056295,4.10426294,15.06309148,10.26381398
E07000140,South Holland,4.108522971,1.881172177,7.79572778,14.60390726,18.99573485,6.427902622,20.61515804,12.68784886,9.857256146,18.9612015,16.30162703
E07000141,South Kesteven,3.063964844,1.789202009,8.925083705,16.67131696,12.97096678,5.449100913,17.28779861,13.42947824,6.373516309,15.62593122,11.44278096
E07000142,West Lindsey,2.047674873,1.867917155,8.440797186,15.12830533,14.0954938,6.450714037,19.92605042,11.06161261,3.667226891,15.43391677,11.38545116
E07000150,Corby,5.552250644,1.054927622,13.49990085,26.56355344,20.1115933,7.582938389,17.74222512,20.93198493,14.99632683,19.28788652,22.44222957
E07000151,Daventry,3.542199893,1.933832591,8.645369229,12.01693683,11.86063305,4.95541624,15.56080829,13.94128985,6.930616754,12.02530543,11.68720264
E07000152,East Northamptonshire,3.134989625,1.923616174,8.636644047,13.35875722,13.71268487,5.354933063,16.23119922,13.28304638,6.548723564,13.67488811,13.40031108
E07000153,Kettering,4.309715121,2.209012367,9.798241858,18.76023274,14.513082,6.296189851,17.10831773,13.06516209,10.72479273,15.20612485,14.42726737
E07000154,Northampton,8.82217038,2.526738119,11.75688316,24.38268474,15.54163915,7.640590582,15.83776978,17.03237876,23.44331326,14.2110199,13.8037795
E07000155,South Northamptonshire,2.537661664,1.797390328,7.4315177,9.272114526,9.912402029,3.677451817,13.94194086,10.09591843,5.946777166,11.27549301,8.833298567
E07000156,Wellingborough,5.090931778,1.98396606,11.27990766,21.10303522,17.23455659,7.496590074,17.8671904,17.70596126,18.74701417,15.25804039,16.82507251
E07000170,Ashfield,3.944552434,1.195735407,11.42329819,23.70265654,21.38373005,7.847472617,22.48006226,16.21409358,3.977505711,17.8459057,19.1078751
E07000171,Bassetlaw,3.763610045,1.409780351,9.543289907,20.07888057,19.39075542,6.766138412,21.80608348,15.89988881,5.493385786,17.70481964,15.57169438
E07000172,Broxtowe,4.175565997,1.768475011,8.57539513,21.57411363,13.64624506,6.546824853,18.80679898,11.14480991,10.49074319,14.06347689,11.5932968
