LAcode,LAname,WhiteBritish,WhiteIrish,WhiteGypsyIrishTraveller,OtherWhite,WhiteBlackCaribbean,WhiteBlackAfrican,WhiteAsian,Indian,Pakistani,Bangladeshi,Chinese,BlackAfrican,BlackCaribbean,Arab,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,BornOutsideUK,BorninEU15,BorninEUAccession,BorninAmericasCaribbean,BorninAntarcticaOceania,NonEnglishMainLanguage,Arrived2007_11,NonBritishPassports
E08000014,Sefton,94.8,.8,0,1.7,.3,.2,.3,.2,0,.1,.4,.2,.1,.1,76.7683260893385,.184082691113627,.191752803243362,.177508309288141,.434274443916871,.0383505606486723,4.22075313196245,.662916834069908,.998575550604478,.3210489791446,.115416925380766,1.95841666352213,.860513532269257,2.2
E08000013,St. Helens,96.6,.5,0,.9,.3,.1,.2,.3,.1,.1,.3,.1,0,.1,78.8167111597873,.180824605836585,.237296643621512,.0273803819563283,.345106897574554,.0262395327081479,2.69639719807425,.387888744381317,.512241312432975,.174549934971593,.0798594473726242,1.18903954000142,.46147352088895,1.3
E08000015,Wirral,95,.8,0,1.2,.3,.2,.3,.4,.1,.3,.5,.1,.1,.1,70.4061816919599,.283004412367136,.232032346935265,.0828686953340234,.565696112676409,.0738000456559604,4.04336690818461,.651066504473346,.500964716698511,.332100205451822,.136342457228808,1.61667978275865,.606661392256624,1.8
E06000011,East Riding of Yorkshire,96.1,.3,.1,1.6,.2,.1,.2,.3,.1,0,.2,.1,.1,.1,68.0303071108597,.210067059869112,.181639181396796,.100844158370215,.391706241265908,.0520679037282414,3.85033170845565,.849843945909228,.917173131764713,.293854491155937,.140643188231457,1.65369739741436,.862412060602252,2
E06000010,"Kingston upon Hull, City of",89.7,.2,.1,4.1,.3,.3,.4,.4,.3,.3,.8,1,.1,.4,54.8945812500487,.30069499153686,.171212842133179,.0670811135464849,2.12436526446339,.112711871017059,8.51033127149911,.925485363057027,3.20429319126698,.223083703189473,.101401683267942,6.47549055513506,3.69960141338346,5.8
E06000012,North East Lincolnshire,95.4,.3,0,1.7,.2,.1,.2,.3,.1,.2,.4,.2,0,.2,60.6681034482759,.217396752205293,.241830392943063,.0400962309542903,.834502806736167,.0989875701684042,4.36860966319166,.729250200481155,1.20476643945469,.205493183640738,.0902165196471532,2.33212601297652,1.0863572574178,2.3
E06000013,North Lincolnshire,92.3,.4,.1,3.2,.2,.1,.3,.7,.5,.9,.3,.2,0,.1,66.0236733036322,.227536041470086,.265757318777397,.0286659579804833,1.80595535277045,.321297612364583,6.54479653141908,1.01764150830716,2.42406507172462,.242466227918254,.0728593098670616,4.26679228208927,1.94450748300945,4
E06000014,York,90.2,.6,.1,3.4,.3,.2,.4,.8,.2,.2,1.2,.5,.1,.3,59.5079045296414,.512999176979667,.496336802136823,.101993930856194,1.04619517195066,.0671544198211572,9.20368995864701,1.75712316524532,1.50567278125331,.770003685919283,.276191486031376,4.92110371313477,3.71671943085367,5.9
E07000163,Craven,95.4,.4,.1,1.5,.2,.1,.3,.3,.9,.1,.2,.1,0,0,67.3193885469869,.241837968561064,.11730946236171,.0288761753505748,.913209045461929,.0613618726199715,4.14734068472631,.806728148856684,.729123427602014,.337490299409843,.247252251439297,1.72068530742416,.869894782436066,2.1
E07000164,Hambleton,96.3,.3,.1,1.5,.2,.1,.3,.2,.1,0,.1,.1,0,.1,72.5734799192282,.151447161768005,.104330266995737,.0504823872560018,.262508413731209,.00560915413955575,4.48620148081669,1.25869418891631,.871662553286964,.345523894996635,.229975319721786,1.37636395127302,.98384563607808,2
E07000165,Harrogate,91.7,.5,.1,4.1,.3,.2,.4,.4,.1,0,.6,.4,.1,.1,68.5942141902463,.262242745567527,.149491033705161,.211567818887812,.362959162343462,.0519417998467083,8.79209977893063,1.4417016640379,1.74005029486473,2.12201255471309,.311017362496754,3.35256254951905,3.32617549993982,5.7
E07000166,Richmondshire,93.4,.4,0,1.6,.3,.1,.2,.1,.1,0,.2,.5,.2,0,69.3870874627153,.717790820744732,.987202925045704,.0500336765130376,.250168382565188,.0134706052150486,8.39988453766959,2.46896949870105,.839026267680169,.494563648609641,.629269700760127,3.35106488952643,2.96738189165785,4.2
E07000167,Ryedale,96.2,.5,.2,1.8,.2,.1,.2,.1,0,0,.2,.1,0,0,71.8285636992522,.241541226256497,.0386465962010396,.0289849471507797,.110142799172963,.0096616490502599,4.15064443199165,.971961894456146,.763270274970532,.407721589920968,.226082587776082,1.5932930705658,1.10915731096984,2.2
E07000168,Scarborough,95.2,.3,0,2,.2,.1,.3,.4,.2,.1,.3,.2,0,.1,66.6807607107075,.271157151654978,.153502523140276,.0615848446131645,.506466408684382,.00735341428216889,4.87163696193689,.846561819234693,1.30798856544079,.329984465912329,.146149108858107,2.34667979847722,1.46792532607796,2.7
E07000169,Selby,95.5,.4,.2,2.3,.2,.1,.3,.2,0,0,.2,.2,0,0,70.9199630912294,.159378782250237,.10425529365241,.0719002025189038,.113841987321598,.0611151721410682,4.21694687773371,.787307217581996,1.44998741746456,.257642392359405,.14979208858105,2.08661563845228,1.11325480233436,2.5
E08000016,Barnsley,96.1,.2,.1,1.5,.3,.1,.2,.2,.1,0,.2,.4,.1,.1,68.4570173124414,.148775413997864,.100336907114838,.0211918467613236,.408699901825526,.0851998737138928,3.37469347507363,.483952582161655,1.02888578459569,.143153087306084,.068765380307152,1.87001866877289,.863675877191086,1.8
E08000017,Doncaster,91.8,.4,.2,2.8,.5,.1,.3,.6,.9,0,.4,.4,.3,.1,65.9122624850365,.225858294587999,.291334052023465,.026124165845464,1.65012136163121,.376981633719354,6.17357028061984,.705683163471141,2.19773678745511,.273146341624725,.0876316955575691,4.08899558392604,1.68616609678507,3.5
E08000018,Rotherham,91.9,.3,0,1.3,.3,.1,.3,.4,3,0,.2,.6,.1,.2,66.4909825870647,.15586131840796,.168299129353234,.0244869402985075,3.73678482587065,.113883706467662,5.10999689054726,.431825248756219,1.15943718905473,.152363184079602,.0509172885572139,3.42566891521157,1.23523009950249,2.4
E08000019,Sheffield,80.8,.5,.1,2.3,1,.2,.6,1.1,4,.6,1.3,2.1,1,1.5,52.5239823556445,.41288370864378,.645198643743962,.135155184205479,7.74401210064086,.170436657994058,11.6740064194189,.96092260149304,1.20463616658645,.815997163007646,.138411935632117,7.84664126096467,3.80750427900951,6.3
E08000032,Bradford,63.9,.5,.1,3,.9,.2,1.1,2.6,20.4,1.9,.4,1,.7,.7,45.9071838178436,.191405143439014,.934439910269269,.0572301378882653,24.6991111145139,.980951360124949,17.1516234984266,.820745255066494,2.31523661503832,.499376019232389,.0989564591579705,14.6864600247584,3.64492814650915,7.1
E08000033,Calderdale,86.7,.9,0,2.1,.5,.1,.4,.6,6.8,.3,.2,.2,.2,.1,56.2572978913387,.290934424460079,.302218558966962,.075064025197963,7.26207647699508,.174168163041025,7.47500318899453,.698635110339211,1.34722753721311,.275725373602975,.118728719594164,5.02897604374975,1.34084954814401,3.2
E08000034,Kirklees,76.7,.6,0,1.8,1.2,.2,.6,4.9,9.9,.2,.3,.6,1.1,.3,53.437501479437,.200019883633403,.365480118733697,.0447381751558735,14.5055839870472,.788244038460628,10.802730685654,.61852302477406,1.08862892879292,.681251153960867,.115751151593768,8.58019696461347,1.9774746838739,4
E08000035,Leeds,81.1,.9,.1,2.9,1.2,.3,.7,2.1,3,.6,.8,2,.9,.5,55.8613944390108,.368869638116529,.93787633818373,.911129297324631,5.42552412889146,1.18618468765178,11.4631695908767,1.10128612014877,1.60029807647525,.769409901727912,.169530995295981,7.09558910109978,3.1614736155745,6.2
E08000036,Wakefield,92.8,.3,.1,2.3,.3,.1,.3,.5,1.5,0,.3,.6,.1,.1,66.3567980309173,.175854798564927,.255035493206726,.0359075243143044,1.98718991397539,.122453864969294,5.39134597973834,.562244312340219,1.84110460138044,.188437777170794,.0890015559927203,3.51069385883342,1.6235111420741,3
E06000015,Derby,75.3,.9,.1,3.9,1.6,.2,.7,4.4,5.9,.3,.5,1.3,1.4,.3,52.7147520421946,.330449604425291,.883610986042323,.0442207499839197,7.64054158358526,3.57424261915482,13.9178780472117,.944314015565704,2.831736026243,.866726699684827,.115777963594263,9.50460272844532,3.20037627838168,7.3
E06000016,Leicester,45.1,.8,.1,4.6,1.4,.4,1,28.3,2.4,1.1,1.3,3.8,1.5,1,32.4012624340966,.371090137915771,15.1852873674732,.0894375740891768,18.6272696679289,4.38304748680417,33.6051831348021,1.7914800857388,3.037239380425,1.07476678015638,.156439960101747,27.5279275961792,7.01675666006749,15.2
E06000018,Nottingham,65.4,.9,.1,5.1,4,.7,1.1,3.2,5.5,.3,2,3.2,3.1,.8,44.234493588066,.670963098665271,1.47147343627323,.349712117246794,8.80626799267208,1.41062549070924,19.5397147343627,1.6235933001832,3.21447265113845,1.96316409316933,.161934048678356,12.6025529594219,6.80515571839832,12
E06000017,Rutland,94.3,.6,.2,2.1,.3,.1,.4,.3,.1,0,.3,.3,.3,0,68.1875351226953,.267601487864273,.200701115898204,.144504803446707,.350557949102197,.0829564612379245,6.41440766410661,1.56546870400599,.698439883325751,.875056865316171,.385346142524552,1.80396045057699,1.38082367737965,2.8
E07000032,Amber Valley,96.5,.3,0,1.3,.4,.1,.2,.3,.1,0,.2,.1,.1,0,61.1843772739537,.206853134274665,.126728204792779,.0645905043782551,.153709048393822,.140627427253922,2.98015681593341,.614836193575289,.622194605466482,.277166847901626,.107105773082929,1.14873647428215,.540434473342109,1.5
E07000033,Bolsover,96.3,.3,.1,1.5,.3,.1,.2,.3,.1,0,.2,.2,.1,0,65.176759022487,.151583054332639,.106767194790815,.0382252919621438,.192444573326655,.137083805657343,3.02111617852529,.512746157699101,1.04790024516911,.141038146205151,.0487702000896317,1.59935643969349,.724962433764796,1.7
E07000034,Chesterfield,94.9,.4,0,1.3,.5,.1,.3,.5,.3,.1,.4,.4,.3,.1,63.7597795506224,.205226037692219,.24762014876479,.029868578255675,.673488264539253,.152233398851505,3.80583497128762,.759239989208772,.525108875785255,.29868578255675,.079970709523259,1.59751099410656,.624349635796046,2
E07000035,Derbyshire Dales,96.8,.5,0,1.3,.2,.1,.2,.1,.1,0,.1,0,.1,0,68.7173069351482,.230609145621239,.0548399797513921,.0787445863096912,.199673772428146,.0478092131165982,3.27493109848698,.679172056921087,.513245964339952,.386692164913662,.208110692389898,1.03636651916341,.600427470611395,1.5
E07000036,Erewash,95.2,.5,0,1.3,.7,.1,.2,.7,.1,0,.2,.1,.3,0,57.8010545944451,.190041130967782,.367591295580875,.0374728990640697,.230190665679286,.25338817462371,3.63665563297972,.663805640563521,.720907201042103,.32387291333946,.138292841784067,1.38304269392664,.548710307723878,1.8
E07000037,High Peak,95.9,.7,0,1.3,.4,.1,.3,.2,.1,0,.3,.1,.1,0,64.102451260837,.32566122431017,.0847159265941997,.0385072393609999,.195836817321656,.0363068256832284,3.58557408792853,.708533204242398,.544602385248427,.323460810632399,.158429784799542,1.22012235336927,.624917484487084,1.8
E07000038,North East Derbyshire,96.9,.3,.1,.8,.3,.1,.3,.4,.1,0,.2,.2,.1,0,67.4318087716995,.116134635387738,.0929077083101906,.0484735869444472,.270644193773164,.132292497702554,2.44488654151056,.468578007129657,.343354574189835,.191874614988437,.064631449259263,.859569072143518,.400916958686366,1
E07000039,South Derbyshire,94,.4,.1,1.2,.5,.1,.4,1.7,.2,0,.2,.2,.2,0,63.9693058946634,.17017048757544,.279037321241716,.0454492606567947,.349853611102303,1.47974337022122,3.87904154907992,.674340193000814,.507340584075847,.300176512244876,.128949065119278,1.66096566241284,.619378296392597,1.8
E07000129,Blaby,88.5,.6,.1,1.8,.7,.1,.5,4.7,.3,0,.5,.4,.4,.1,58.1312889314806,.188468295799393,2.71522121066922,.0649523505297343,.775169035830272,1.9688015758931,6.5580578182399,.738966086354682,.824149496885482,.415269126337646,.128839908427834,3.35188757233398,.774104243198637,2.5
